# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  229       7.316402110377e-10       1.912854065482e-13       5.382854046437e-12       0.000000000000e+00 
  230       7.301797389210e-10       1.985184636447e-13       5.611595010863e-12       0.000000000000e+00 
  231       7.286362248059e-10       2.060364149496e-13       5.840199408289e-12       0.000000000000e+00 
  232       7.270102343877e-10       2.138417032479e-13       6.068569897296e-12       0.000000000000e+00 
  233       7.253023661728e-10       2.219367123845e-13       6.296607424269e-12       0.000000000000e+00 
  234       7.235132517688e-10       2.303237661972e-13       6.524211213436e-12       0.000000000000e+00 
  235       7.216435561750e-10       2.390051274495e-13       6.751278756914e-12       0.000000000000e+00 
  236       7.196939780724e-10       2.479829967639e-13       6.977705804746e-12       0.000000000000e+00 
  237       7.176652501142e-10       2.572595115545e-13       7.203386354946e-12       0.000000000000e+00 
  238       7.155581392162e-10       2.668367449603e-13       7.428212643536e-12       0.000000000000e+00 
  239       7.133734468468e-10       2.767167047782e-13       7.652075134588e-12       0.000000000000e+00 
  240       7.111120093174e-10       2.869013323957e-13       7.874862510269e-12       0.000000000000e+00 
  241       7.087746980730e-10       2.973925017243e-13       8.096461660877e-12       0.000000000000e+00 
  242       7.063624199819e-10       3.081920181322e-13       8.316757674885e-12       0.000000000000e+00 
  243       7.038761176266e-10       3.193016173774e-13       8.535633828981e-12       0.000000000000e+00 
  244       7.013167695937e-10       3.307229645409e-13       8.752971578110e-12       0.000000000000e+00 
  245       6.986853907643e-10       3.424576529592e-13       8.968650545516e-12       0.000000000000e+00 
  246       6.959830326045e-10       3.545072031579e-13       9.182548512780e-12       0.000000000000e+00 
  247       6.932107834553e-10       3.668730617840e-13       9.394541409863e-12       0.000000000000e+00 
  248       6.903697688232e-10       3.795566005398e-13       9.604503305149e-12       0.000000000000e+00 
  249       6.874611516705e-10       3.925591151150e-13       9.812306395482e-12       0.000000000000e+00 
  250       6.844860844293e-10       4.058814869379e-13       1.001782935842e-11       0.000000000000e+00 
  251       6.814455613734e-10       4.195231489820e-13       1.022098296404e-11       0.000000000000e+00 
  252       6.783405582894e-10       4.334830581909e-13       1.042168592219e-11       0.000000000000e+00 
  253       6.751720801820e-10       4.477600255863e-13       1.061985665925e-11       0.000000000000e+00 
  254       6.719411614729e-10       4.623527145563e-13       1.081541332418e-11       0.000000000000e+00 
  255       6.686488661981e-10       4.772596391431e-13       1.100827379460e-11       0.000000000000e+00 
  256       6.652962882063e-10       4.924791623319e-13       1.119835568275e-11       0.000000000000e+00 
  257       6.618845513566e-10       5.080094943385e-13       1.138557634159e-11       0.000000000000e+00 
  258       6.584148097167e-10       5.238486908976e-13       1.156985287076e-11       0.000000000000e+00 
  259       6.548882477607e-10       5.399946515513e-13       1.175110212270e-11       0.000000000000e+00 
  260       6.513060805671e-10       5.564451179370e-13       1.192924070860e-11       0.000000000000e+00 
  261       6.476695540170e-10       5.731976720755e-13       1.210418500449e-11       0.000000000000e+00 
