# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  101       3.979638462589e+03       7.148530301472e-01       0.000000000000e+00      -2.716573752945e+01       4.425273043345e-08       3.609040040561e-04      -1.763851650462e-06 
  102       4.025426038486e+03       7.296663680322e-01       0.000000000000e+00      -2.791160968765e+01       4.377294767174e-08       3.568671774770e-04      -1.765439929538e-06 
  103       4.071380695407e+03       7.444099043044e-01       0.000000000000e+00      -2.865935919607e+01       4.329668749103e-08       3.528786106879e-04      -1.765753382643e-06 
  104       4.117494783026e+03       7.590710590361e-01       0.000000000000e+00      -2.940848048673e+01       4.282095968057e-08       3.489127022459e-04      -1.764638283580e-06 
  105       4.163767119354e+03       7.736381658816e-01       0.000000000000e+00      -3.015848422774e+01       4.234671829060e-08       3.449733462332e-04      -1.762161929608e-06 
  106       4.210197636987e+03       7.880997223562e-01       0.000000000000e+00      -3.090888039063e+01       4.187581822528e-08       3.410717014208e-04      -1.758463893910e-06 
  107       4.256785478230e+03       8.024441287461e-01       0.000000000000e+00      -3.165917239268e+01       4.140986086977e-08       3.372181024136e-04      -1.753702845612e-06 
  108       4.303528959882e+03       8.166596919073e-01       0.000000000000e+00      -3.240885724298e+01       4.095015513721e-08       3.334219680752e-04      -1.748057426834e-06 
  109       4.350425538013e+03       8.307346290644e-01       0.000000000000e+00      -3.315742568849e+01       4.049767655598e-08       3.296917076262e-04      -1.741727145383e-06 
  110       4.397471772749e+03       8.446570716090e-01       0.000000000000e+00      -3.390436236008e+01       4.005302435990e-08       3.260346244153e-04      -1.734933283099e-06 
  111       4.444663293052e+03       8.584150688989e-01       0.000000000000e+00      -3.464914591862e+01       3.961637654389e-08       3.224568173640e-04      -1.727919819858e-06 
  112       4.491994761499e+03       8.719965920567e-01       0.000000000000e+00      -3.539124920104e+01       3.918744284769e-08       3.189630800834e-04      -1.720954373214e-06 
  113       4.539459839066e+03       8.853895377686e-01       0.000000000000e+00      -3.613013936635e+01       3.876541563010e-08       3.155567976648e-04      -1.714329153706e-06 
  114       4.587051149907e+03       8.985817320830e-01       0.000000000000e+00      -3.686527804175e+01       3.834891859646e-08       3.122398411434e-04      -1.708361935810e-06 
  115       4.634760246138e+03       9.115609342095e-01       0.000000000000e+00      -3.759612146866e+01       3.793595334170e-08       3.090124596345e-04      -1.703397044535e-06 
  116       4.682578945806e+03       9.243151472767e-01       0.000000000000e+00      -3.832212418198e+01       3.752461114064e-08       3.058741177004e-04      -1.699727679531e-06 
  117       4.730503606651e+03       9.368335853458e-01       0.000000000000e+00      -3.904275024303e+01       3.711553095753e-08       3.028264223951e-04      -1.697344550328e-06 
  118       4.778531308238e+03       9.491058316485e-01       0.000000000000e+00      -3.975746365295e+01       3.670992913897e-08       2.998705217104e-04      -1.696143387798e-06 
  119       4.826658502433e+03       9.611215485898e-01       0.000000000000e+00      -4.046572511708e+01       3.630886286349e-08       2.970061133819e-04      -1.695998565712e-06 
  120       4.874880990322e+03       9.728704842608e-01       0.000000000000e+00      -4.116699222230e+01       3.591320875538e-08       2.942313513883e-04      -1.696762006976e-06 
