# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.354544334144e+13       1.871832562795e-25       7.294147508219e-09       8.712220953209e+21       1.910636450125e+04       3.006724557509e-10       1.214122402875e+18       4.211093705736e-09       4.486593553208e+43       5.710075253109e+32       1.300826518599e+33       4.339565124443e-08       3.103685840358e+43       7.590279393753e+43       1.273235668680e-05       2.205485562407e+00 
       6.310371732020e+13       1.898129938470e-25       7.345079211518e-09       8.591518706896e+21       1.910636450125e+04       3.027771629412e-10       1.205682624504e+18       4.240571361676e-09       4.363136959379e+43       5.591823053011e+32       1.273887189264e+33       4.339565124443e-08       3.018282409532e+43       7.381419369095e+43       1.292823909737e-05       2.172069114492e+00 
       6.266506188699e+13       1.924796765975e-25       7.396010914817e-09       8.472488712968e+21       1.910636450125e+04       3.048966030818e-10       1.197301513906e+18       4.270255361207e-09       4.243077493099e+43       5.476019784357e+32       1.247505757124e+33       4.339565124443e-08       2.935229005859e+43       7.178306499138e+43       1.312412150793e-05       2.139650172484e+00 
       6.222945569711e+13       1.951838235740e-25       7.446942618117e-09       8.355107803439e+21       1.910636450125e+04       3.070308793034e-10       1.188978663263e+18       4.300147148736e-09       4.126321676368e+43       5.362614731258e+32       1.221670668465e+33       4.339565124443e-08       2.854460964165e+43       6.980782640708e+43       1.332000391850e-05       2.108184728772e+00 
       6.179687755423e+13       1.979259611114e-25       7.501512300223e-09       8.239353131298e+21       1.910636450125e+04       3.091800954585e-10       1.180713667590e+18       4.330248178776e-09       4.012778603396e+43       5.251558228123e+32       1.196370608844e+33       4.339565124443e-08       2.775915398654e+43       6.788694002222e+43       1.351588632906e-05       2.077631326905e+00 
       6.136730640936e+13       2.007066229390e-25       7.552444003522e-09       8.125202166067e+21       1.910636450125e+04       3.113443561267e-10       1.172506124717e+18       4.360559916028e-09       3.902359869832e+43       5.142801637906e+32       1.171594498135e+33       4.339565124443e-08       2.699531153946e+43       6.601891023947e+43       1.371176873963e-05       2.047950879378e+00 
       6.094072135984e+13       2.035263502847e-25       7.607013685629e-09       8.012632689414e+21       1.910636450125e+04       3.135237666196e-10       1.164355635270e+18       4.391083835440e-09       3.794979503924e+43       5.036297330801e+32       1.147331485673e+33       4.339565124443e-08       2.625248757458e+43       6.420228261547e+43       1.390765115020e-05       2.019106500796e+00 
       6.051710164831e+13       2.063856919799e-25       7.657945388928e-09       7.901622790827e+21       1.910636450125e+04       3.157184329859e-10       1.156261802652e+18       4.421821422288e-09       3.690553899588e+43       4.931998663391e+32       1.123570945504e+33       4.339565124443e-08       2.553010373102e+43       6.243564272851e+43       1.410353356076e-05       1.991063354951e+00 
       6.009642666167e+13       2.092852045665e-25       7.712515071034e-09       7.792150863348e+21       1.910636450125e+04       3.179284620168e-10       1.148224233021e+18       4.452774172243e-09       3.589001751309e+43       4.829859958213e+32       1.100302471730e+33       4.339565124443e-08       2.482759756251e+43       6.071761507718e+43       1.429941597133e-05       1.963788514473e+00 
       5.967867593016e+13       2.122254524054e-25       7.767084753141e-09       7.684195599373e+21       1.910636450125e+04       3.201539612509e-10       1.140242535274e+18       4.483943591449e-09       3.490243990837e+43       4.729836483757e+32       1.077515873956e+33       4.339565124443e-08       2.414442209951e+43       5.904686200943e+43       1.449529838189e-05       1.937250831845e+00 
