# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.408542322370e+13       1.377115269292e-25       6.255504558794e-09       1.184201441821e+22       1.515460971389e+04       2.045558904095e-10       1.122735674443e+18       3.611990116767e-09       8.289152634162e+43       5.429228732249e+33       2.061410284276e+28       3.733861180667e-08       5.734177913402e+43       1.402333054811e+44       4.069909869317e-06       3.333873524566e+00 
       7.357043021222e+13       1.396462361710e-25       6.299160304479e-09       1.167795088621e+22       1.515460971389e+04       2.059877816423e-10       1.114931156349e+18       3.637274047584e-09       8.061061870468e+43       5.316792693499e+33       2.018719725813e+28       3.733861180667e-08       5.576391819075e+43       1.363745369007e+44       4.164558936046e-06       3.258103671735e+00 
       7.305901709257e+13       1.416081261430e-25       6.344635039568e-09       1.151616034946e+22       1.515460971389e+04       2.074296961138e-10       1.107180890118e+18       3.662734965916e-09       7.839247429430e+43       5.206685137014e+33       1.976913262960e+28       3.733861180667e-08       5.422947489502e+43       1.326219491945e+44       4.259208002774e-06       3.185701367918e+00 
       7.255115897971e+13       1.435975787072e-25       6.388290785253e-09       1.135661131707e+22       1.515460971389e+04       2.088817039866e-10       1.099484498628e+18       3.688374110677e-09       7.623536606878e+43       5.098857841335e+33       1.935972586632e+28       3.733861180667e-08       5.273725453313e+43       1.289726206070e+44       4.353857069502e-06       3.116446990355e+00 
       7.204683116158e+13       1.456149810904e-25       6.433765520342e-09       1.119927273443e+22       1.515460971389e+04       2.103438759145e-10       1.091841607376e+18       3.714192729451e-09       7.413761450905e+43       4.993263583642e+33       1.895879766914e+28       3.733861180667e-08       5.128609526601e+43       1.254237097801e+44       4.448506136230e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259597e-25       6.477421266027e-09       1.104411397716e+22       1.515460971389e+04       2.118162830459e-10       1.084251844465e+18       3.740192078557e-09       7.209758631098e+43       4.889856119072e+33       1.856617245210e+28       3.733861180667e-08       4.987486722469e+43       1.219724535406e+44       4.543155202958e-06       2.986595032424e+00 
       7.104866841896e+13       1.497352114987e-25       6.522896001115e-09       1.089110484519e+22       1.515460971389e+04       2.132989970273e-10       1.076714840581e+18       3.766373423106e-09       7.011369311369e+43       4.788590160462e+33       1.818167826550e+28       3.733861180667e-08       4.850247163053e+43       1.186161647490e+44       4.637804269687e-06       2.925644113395e+00 
       7.055478492449e+13       1.518388414851e-25       6.568370736204e-09       1.074021555684e+22       1.515460971389e+04       2.147920900064e-10       1.069230228978e+18       3.792738037067e-09       6.818439026289e+43       4.689421358522e+33       1.780514672064e+28       3.733861180667e-08       4.716783993974e+43       1.153522302073e+44       4.732453336415e-06       2.867131231127e+00 
       7.006433458242e+13       1.539720253691e-25       6.615664460696e-09       1.059141674302e+22       1.515460971389e+04       2.162956346365e-10       1.061797645460e+18       3.819287203326e-09       6.630817560821e+43       4.592306282407e+33       1.743641291601e+28       3.733861180667e-08       4.586993301144e+43       1.121781086242e+44       4.827102403143e-06       2.810912971693e+00 
       6.957729352772e+13       1.561351783535e-25       6.661139195785e-09       1.044467944154e+22       1.515460971389e+04       2.178097040789e-10       1.054416728361e+18       3.846022213749e-09       6.448358833359e+43       4.497202400699e+33       1.707531536515e+28       3.733861180667e-08       4.460774029851e+43       1.090913286366e+44       4.921751469871e-06       2.756856953007e+00 
       6.909363806129e+13       1.583287214742e-25       6.708432920277e-09       1.029997509148e+22       1.515460971389e+04       2.193343720075e-10       1.047087118531e+18       3.872944369244e-09       6.270920781994e+43       4.404068062780e+33       1.672169592587e+28       3.733861180667e-08       4.338027906086e+43       1.060894868852e+44       5.016400536599e-06       2.704840784082e+00 
       6.861334464875e+13       1.605530816822e-25       6.755726644769e-09       1.015727552760e+22       1.515460971389e+04       2.208697126116e-10       1.039808459316e+18       3.900054979828e-09       6.098365253901e+43       4.312862480591e+33       1.637539973099e+28       3.733861180667e-08       4.218659360024e+43       1.031702461436e+44       5.111049603328e-06       2.654751139932e+00 
