# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       8.274175474635e-03       1.776656075398e+07       1.776348490199e+07       4.610881232850e+04       4.551563783182e+04       0.000000000000e+00       1.775730997597e+07 
       8.433997811392e-03       1.766598604427e+07       1.766280504536e+07       4.413016133608e+04       4.356244114818e+04       0.000000000000e+00       1.765666452267e+07 
       8.593916066622e-03       1.756574965674e+07       1.756246188955e+07       4.226518049808e+04       4.172145336793e+04       0.000000000000e+00       1.755635569226e+07 
       8.753925823735e-03       1.746583896907e+07       1.746244275307e+07       4.050562220336e+04       3.998453323687e+04       0.000000000000e+00       1.745637080481e+07 
       8.914022989845e-03       1.736631374867e+07       1.736280751125e+07       3.884350592728e+04       3.834379749660e+04       0.000000000000e+00       1.735676971201e+07 
       9.074203769049e-03       1.726704533984e+07       1.726342745171e+07       3.727233606328e+04       3.679284023087e+04       0.000000000000e+00       1.725742374409e+07 
       9.234464638324e-03       1.716808571634e+07       1.716435437734e+07       3.578579192373e+04       3.532542069720e+04       0.000000000000e+00       1.715838468370e+07 
       9.394802325744e-03       1.706941572707e+07       1.706556921585e+07       3.437809585839e+04       3.393583571846e+04       0.000000000000e+00       1.705963346319e+07 
       9.555213790786e-03       1.697102688851e+07       1.696706363090e+07       3.304395450036e+04       3.261886005588e+04       0.000000000000e+00       1.696116174728e+07 
       9.715696206471e-03       1.687301884572e+07       1.686893717310e+07       3.177812988916e+04       3.136931781726e+04       0.000000000000e+00       1.686306905008e+07 
       9.876246943173e-03       1.677527504423e+07       1.677107315037e+07       3.057652139788e+04       3.018316669250e+04       0.000000000000e+00       1.676523871875e+07 
       1.003686355391e-02       1.667778924434e+07       1.667346561490e+07       2.943494837832e+04       2.905627929064e+04       0.000000000000e+00       1.666766480612e+07 
       1.019754376097e-02       1.658056846994e+07       1.657612156160e+07       2.834959472409e+04       2.798488826006e+04       0.000000000000e+00       1.657035430333e+07 
       1.035828544370e-02       1.648361282484e+07       1.647904121378e+07       2.731698789258e+04       2.696556599588e+04       0.000000000000e+00       1.647330743239e+07 
       1.051908662744e-02       1.638689877220e+07       1.638220102292e+07       2.633389200748e+04       2.599511862630e+04       0.000000000000e+00       1.637650065189e+07 
       1.067994547333e-02       1.629045555885e+07       1.628563012166e+07       2.539702672348e+04       2.507030501760e+04       0.000000000000e+00       1.627996308317e+07 
       1.084086026909e-02       1.619427495196e+07       1.618932049305e+07       2.450383573042e+04       2.418860382784e+04       0.000000000000e+00       1.618368671119e+07 
       1.100182942051e-02       1.609845954114e+07       1.609337445134e+07       2.365169210069e+04       2.334742016209e+04       0.000000000000e+00       1.608777381362e+07 
       1.116285144370e-02       1.600273926057e+07       1.599752217988e+07       2.283830060696e+04       2.254449271157e+04       0.000000000000e+00       1.599195466707e+07 
       1.132392495798e-02       1.590726810628e+07       1.590191781738e+07       2.206138252576e+04       2.177756946754e+04       0.000000000000e+00       1.589638335572e+07 
       1.148504867934e-02       1.581201217777e+07       1.580652711717e+07       2.131882400965e+04       2.104456377745e+04       0.000000000000e+00       1.580102564412e+07 
       1.164622141443e-02       1.571698805892e+07       1.571136683237e+07       2.060872929339e+04       2.034360426911e+04       0.000000000000e+00       1.570589827888e+07 
       1.180744205510e-02       1.562218946815e+07       1.561643079168e+07       1.992929585646e+04       1.967291163441e+04       0.000000000000e+00       1.561099509024e+07 
       1.196870957327e-02       1.552759706738e+07       1.552169954440e+07       1.927882215837e+04       1.903080620813e+04       0.000000000000e+00       1.551629663367e+07 
       1.213002301629e-02       1.543322032332e+07       1.542718271980e+07       1.865575612337e+04       1.841575586711e+04       0.000000000000e+00       1.542181253457e+07 
       1.229138150264e-02       1.533904172428e+07       1.533286265719e+07       1.805861548901e+04       1.782629740774e+04       0.000000000000e+00       1.532752513786e+07 
       1.245278421797e-02       1.524506825715e+07       1.523874651821e+07       1.748605036453e+04       1.726109926322e+04       0.000000000000e+00       1.523344160224e+07 
       1.261423041144e-02       1.515129257299e+07       1.514482681294e+07       1.693671981816e+04       1.671883558616e+04       0.000000000000e+00       1.513955443994e+07 
       1.277571939232e-02       1.505772172689e+07       1.505111075473e+07       1.640948267229e+04       1.619838104974e+04       0.000000000000e+00       1.504587086138e+07 
       1.293725052690e-02       1.496434321022e+07       1.495758576030e+07       1.590320683827e+04       1.569861815528e+04       0.000000000000e+00       1.495237828729e+07 
       1.309882323562e-02       1.487115846659e+07       1.486425334557e+07       1.541684605774e+04       1.521851413735e+04       0.000000000000e+00       1.485907823267e+07 
       1.326043699037e-02       1.477816091617e+07       1.477110666038e+07       1.494927773973e+04       1.475695893637e+04       0.000000000000e+00       1.476596384940e+07 
       1.342209131205e-02       1.468534580958e+07       1.467814146680e+07       1.449983017267e+04       1.431329338975e+04       0.000000000000e+00       1.467303090076e+07 
       1.358378576828e-02       1.459270740883e+07       1.458535180047e+07       1.406749104764e+04       1.388651621129e+04       0.000000000000e+00       1.458027342415e+07 
       1.374551997130e-02       1.450025034640e+07       1.449274236881e+07       1.365144371580e+04       1.347582125794e+04       0.000000000000e+00       1.448769612503e+07 
       1.390729357604e-02       1.440797107265e+07       1.440030962612e+07       1.325091127154e+04       1.308044161835e+04       0.000000000000e+00       1.439529545868e+07 
       1.406910627825e-02       1.431586100388e+07       1.430804498056e+07       1.286515694225e+04       1.269964999774e+04       0.000000000000e+00       1.430306283602e+07 
       1.423095781290e-02       1.422392542010e+07       1.421595379638e+07       1.249349854247e+04       1.233277298607e+04       0.000000000000e+00       1.421100361916e+07 
       1.439284795260e-02       1.413215027469e+07       1.412402190790e+07       1.213527535436e+04       1.197915836475e+04       0.000000000000e+00       1.411910364715e+07 
       1.455477650618e-02       1.404054506317e+07       1.403225904651e+07       1.178982845639e+04       1.163815538315e+04       0.000000000000e+00       1.402737264776e+07 
       1.471674331733e-02       1.394909583275e+07       1.394065106633e+07       1.145664734240e+04       1.130926053270e+04       0.000000000000e+00       1.393579647985e+07 
       1.487874826344e-02       1.385781825401e+07       1.384921386848e+07       1.113517331328e+04       1.099192216189e+04       0.000000000000e+00       1.384439103881e+07 
       1.504079125440e-02       1.376669654862e+07       1.375793156345e+07       1.082487676742e+04       1.068561748231e+04       0.000000000000e+00       1.375314044049e+07 
       1.520287223161e-02       1.367573413120e+07       1.366680756593e+07       1.052526414098e+04       1.038985923818e+04       0.000000000000e+00       1.366204809821e+07 
       1.536499116699e-02       1.358492475588e+07       1.357583563047e+07       1.023586889891e+04       1.010418690098e+04       0.000000000000e+00       1.357110776854e+07 
       1.552714806210e-02       1.349427226057e+07       1.348501969387e+07       9.956269481351e+03       9.828184409736e+03       0.000000000000e+00       1.348032338676e+07 
       1.568934294728e-02       1.340377517452e+07       1.339435834063e+07       9.686048104490e+03       9.561439350487e+03       0.000000000000e+00       1.338969353772e+07 
       1.585157588098e-02       1.331341590138e+07       1.330383384817e+07       9.424829108518e+03       9.303581373826e+03       0.000000000000e+00       1.329920050489e+07 
       1.601384694900e-02       1.322321560630e+07       1.321346769780e+07       9.172227008818e+03       9.054229543147e+03       0.000000000000e+00       1.320886576196e+07 
       1.617615626387e-02       1.313316162331e+07       1.312324690422e+07       8.927792343160e+03       8.812939202243e+03       0.000000000000e+00       1.311867632798e+07 
       1.633850396429e-02       1.304326500037e+07       1.303318273134e+07       8.691302198926e+03       8.579491649017e+03       0.000000000000e+00       1.302864346289e+07 
       1.650089021459e-02       1.295351393479e+07       1.294326335813e+07       8.462370911978e+03       8.353505283346e+03       0.000000000000e+00       1.293875534961e+07 
       1.666331520425e-02       1.286390409325e+07       1.285348443097e+07       8.240722592271e+03       8.134708241834e+03       0.000000000000e+00       1.284900763597e+07 
       1.682577914748e-02       1.277424351179e+07       1.276365460467e+07       8.025957798452e+03       7.922706110647e+03       0.000000000000e+00       1.275920904331e+07 
       1.698828228279e-02       1.268491537653e+07       1.267415597048e+07       7.818047379331e+03       7.717470651006e+03       0.000000000000e+00       1.266974152972e+07 
       1.715082487271e-02       1.259573078527e+07       1.258480028875e+07       7.616596090162e+03       7.518611260285e+03       0.000000000000e+00       1.258041692101e+07 
       1.731340720341e-02       1.250670720407e+07       1.249560501008e+07       7.421309663341e+03       7.325837021020e+03       0.000000000000e+00       1.249125266159e+07 
       1.747602958446e-02       1.241755592543e+07       1.240628217334e+07       7.231718841439e+03       7.138684538391e+03       0.000000000000e+00       1.240196089053e+07 
       1.763869234858e-02       1.232861216209e+07       1.231716518058e+07       7.047958934406e+03       6.957288628853e+03       0.000000000000e+00       1.231287489375e+07 
       1.780139585144e-02       1.223999881867e+07       1.222837830804e+07       6.869896842578e+03       6.781517270237e+03       0.000000000000e+00       1.222411890410e+07 
       1.796414047150e-02       1.215152094029e+07       1.213972628175e+07       6.697144965012e+03       6.610987843650e+03       0.000000000000e+00       1.213549771555e+07 
       1.812692660982e-02       1.206318364939e+07       1.205121432989e+07       6.529508898314e+03       6.445508446181e+03       0.000000000000e+00       1.204701655438e+07 
       1.828975468998e-02       1.197506240802e+07       1.196291746476e+07       6.366843455622e+03       6.284935634292e+03       0.000000000000e+00       1.195875040672e+07 
       1.845262515801e-02       1.188700085439e+07       1.187468029548e+07       6.208875222301e+03       6.128999730662e+03       0.000000000000e+00       1.187054393572e+07 
       1.861553848227e-02       1.179907582783e+07       1.178657917622e+07       6.055480790214e+03       5.977578822739e+03       0.000000000000e+00       1.178247346892e+07 
       1.877849515347e-02       1.171131308785e+07       1.169863992240e+07       5.906461283317e+03       5.830476180557e+03       0.000000000000e+00       1.169456481266e+07 
       1.894149568463e-02       1.162368839938e+07       1.161083826230e+07       5.761730470036e+03       5.687607358946e+03       0.000000000000e+00       1.160679370366e+07 
       1.910454061111e-02       1.153618213903e+07       1.152315498494e+07       5.621069054360e+03       5.548755474759e+03       0.000000000000e+00       1.151914093755e+07 
       1.926763049063e-02       1.144882915245e+07       1.143562425342e+07       5.484371784116e+03       5.413816747082e+03       0.000000000000e+00       1.143164066549e+07 
       1.943076590335e-02       1.136158424422e+07       1.134820247875e+07       5.351470730897e+03       5.282625400294e+03       0.000000000000e+00       1.134424931362e+07 
       1.959394745191e-02       1.127451284393e+07       1.126095263102e+07       5.222279855390e+03       5.155096521745e+03       0.000000000000e+00       1.125702983006e+07 
       1.975717576160e-02       1.118758016937e+07       1.117384117740e+07       5.096647934852e+03       5.031080822747e+03       0.000000000000e+00       1.116994869362e+07 
       1.992045148042e-02       1.110079170850e+07       1.108687366598e+07       4.974456099253e+03       4.910460961797e+03       0.000000000000e+00       1.108301145040e+07 
       2.008377527925e-02       1.101414375871e+07       1.100004638559e+07       4.855586193565e+03       4.793120302948e+03       0.000000000000e+00       1.099621439049e+07 
       2.024714785200e-02       1.092763735103e+07       1.091336039584e+07       4.739927015879e+03       4.678949073886e+03       0.000000000000e+00       1.090955857309e+07 
       2.041056991582e-02       1.084127571516e+07       1.082681895843e+07       4.627372809089e+03       4.567842876990e+03       0.000000000000e+00       1.082304725873e+07 
       2.057404221128e-02       1.075508141538e+07       1.074044462150e+07       4.517838715965e+03       4.459717923506e+03       0.000000000000e+00       1.073670298766e+07 
       2.073756550259e-02       1.066901009202e+07       1.065419308711e+07       4.411188655310e+03       4.354439913912e+03       0.000000000000e+00       1.065048147733e+07 
       2.090114057784e-02       1.058308644126e+07       1.056808906285e+07       4.307348253004e+03       4.251935420407e+03       0.000000000000e+00       1.056440742670e+07 
       2.106476824926e-02       1.049730969677e+07       1.048213179313e+07       4.206226032893e+03       4.152114142724e+03       0.000000000000e+00       1.047848008040e+07 
       2.122844935352e-02       1.041167331923e+07       1.039631469311e+07       4.107731795173e+03       4.054887040586e+03       0.000000000000e+00       1.039269285586e+07 
       2.139218475198e-02       1.032621276161e+07       1.031067353323e+07       4.011821848860e+03       3.960211262128e+03       0.000000000000e+00       1.030708151104e+07 
       2.155597533102e-02       1.024087901031e+07       1.022515856466e+07       3.918266371891e+03       3.867858761112e+03       0.000000000000e+00       1.022159631437e+07 
       2.171982200239e-02       1.015570578434e+07       1.013980437168e+07       3.827191101559e+03       3.777955276335e+03       0.000000000000e+00       1.013627183812e+07 
       2.188372570353e-02       1.007071097830e+07       1.005462879478e+07       3.738442879288e+03       3.690348895011e+03       0.000000000000e+00       1.005112591650e+07 
       2.204768739797e-02       9.986147073158e+06       9.969883980941e+06       3.652038870495e+03       3.605056347708e+03       0.000000000000e+00       9.966410608614e+06 
       2.221170807567e-02       9.901467127101e+06       9.885023105469e+06       3.567702937329e+03       3.521805441262e+03       0.000000000000e+00       9.881579280270e+06 
       2.237578875346e-02       9.816939949964e+06       9.800315015754e+06       3.485477486828e+03       3.440637896776e+03       0.000000000000e+00       9.796900685167e+06 
       2.253993047543e-02       9.732562689371e+06       9.715756950087e+06       3.405263437400e+03       3.361455679613e+03       0.000000000000e+00       9.712372062522e+06 
       2.270413431339e-02       9.648344986933e+06       9.631358543948e+06       3.327045953700e+03       3.284244434478e+03       0.000000000000e+00       9.628003044451e+06 
       2.286840136734e-02       9.564292128316e+06       9.547126232229e+06       3.250752285764e+03       3.208932240036e+03       0.000000000000e+00       9.543800063577e+06 
       2.303273276591e-02       9.480395756795e+06       9.463049463041e+06       3.176323656537e+03       3.135461101768e+03       0.000000000000e+00       9.459752571674e+06 
       2.319712966688e-02       9.396662597604e+06       9.379136064468e+06       3.103715880346e+03       3.063787460772e+03       0.000000000000e+00       9.375868394079e+06 
       2.336159325767e-02       9.313091871992e+06       9.295385347327e+06       3.032842619514e+03       2.993825863567e+03       0.000000000000e+00       9.292146841818e+06 
       2.352612475590e-02       9.229682557978e+06       9.211795235599e+06       2.963676716084e+03       2.925549674898e+03       0.000000000000e+00       9.208585839591e+06 
       2.369072540995e-02       9.146301235124e+06       9.128235161966e+06       2.896175204435e+03       2.858916930563e+03       0.000000000000e+00       9.125054865560e+06 
       2.385539649946e-02       9.063222235900e+06       9.044976716646e+06       2.830295855989e+03       2.793885159241e+03       0.000000000000e+00       9.041825415283e+06 
       2.402013933604e-02       8.980304892095e+06       8.961880144130e+06       2.765982513714e+03       2.730399290849e+03       0.000000000000e+00       8.958757781937e+06 
       2.418495526376e-02       8.897580853403e+06       8.878977290374e+06       2.703183107823e+03       2.668407781494e+03       0.000000000000e+00       8.875883800359e+06 
       2.434984565986e-02       8.815028901158e+06       8.796246792917e+06       2.641856145209e+03       2.607869732233e+03       0.000000000000e+00       8.793182115519e+06 
       2.451481193541e-02       8.732638063910e+06       8.713677589743e+06       2.581961431372e+03       2.548745515744e+03       0.000000000000e+00       8.710641669246e+06 
       2.467985553591e-02       8.650193501895e+06       8.631055510127e+06       2.523403143802e+03       2.490940698391e+03       0.000000000000e+00       8.628048365417e+06 
       2.484497794209e-02       8.568156267206e+06       8.548840657361e+06       2.466273462607e+03       2.434546053719e+03       0.000000000000e+00       8.545862147008e+06 
